layer,identity_similarity
0,0.8715828657150269
1,0.0187351256608963
2,0.020090194419026375
3,0.014054480940103531
4,0.002476993016898632
5,-0.0026726964861154556
6,-0.007275393232703209
7,-0.01313994824886322
8,-0.019321147352457047
9,-0.018853425979614258
10,-0.01988614723086357
11,-0.019051603972911835
12,-0.02766898274421692
13,-0.028452150523662567
14,-0.02792598307132721
15,-0.02751157619059086
16,-0.025053784251213074
17,-0.03180032968521118
18,-0.035050783306360245
19,-0.04441447928547859
20,-0.04699549078941345
21,-0.06097467243671417
22,-0.06736216694116592
23,-0.08186031132936478
24,-0.11959467828273773
