layer,identity_similarity
0,0.8591758012771606
1,0.03537435457110405
2,0.018865330144762993
3,0.015206717886030674
4,0.00182529934681952
5,-0.010967029258608818
6,-0.026684297248721123
7,-0.038079239428043365
8,-0.03561900556087494
9,-0.0413915254175663
10,-0.04661039635539055
11,-0.04642516002058983
12,-0.04359319433569908
13,-0.04267992079257965
14,-0.04616405442357063
15,-0.04829433560371399
16,-0.04157138615846634
17,-0.04140038415789604
18,-0.041558220982551575
19,-0.036238573491573334
20,-0.032036859542131424
21,-0.03827476128935814
22,-0.041029348969459534
23,-0.055040325969457626
24,-0.11420014500617981
