layer,identity_similarity
0,0.8052122592926025
1,0.028310786932706833
2,0.0184403695166111
3,0.02291153371334076
4,0.016588058322668076
5,0.006602283101528883
6,0.0036980165168642998
7,0.002836199477314949
8,-0.00127743324264884
9,0.0014466075226664543
10,-0.003829181892797351
11,-0.006111529655754566
12,-0.0038227795157581568
13,-0.011188059113919735
14,-0.014387840405106544
15,-0.019840482622385025
16,-0.015350106172263622
17,-0.013885599561035633
18,-0.012292115017771721
19,-0.019016746431589127
20,-0.025663869455456734
21,-0.02796095609664917
22,-0.032543763518333435
23,-0.040705397725105286
24,-0.10728950053453445
