layer,context_similarity
0,0.961057722568512
1,0.9803382754325867
2,0.9701917171478271
3,0.9517846703529358
4,0.9252468347549438
5,0.9139121174812317
6,0.884319007396698
7,0.8694645166397095
8,0.8553684949874878
9,0.8437856435775757
10,0.8267091512680054
11,0.8089419603347778
12,0.7784498333930969
13,0.762609601020813
14,0.7493304014205933
15,0.7373073101043701
16,0.7302405834197998
17,0.7423087954521179
18,0.7500381469726562
19,0.7604525685310364
20,0.7797859311103821
21,0.8041560649871826
22,0.8518211841583252
23,0.8841953277587891
24,0.9801961183547974
